Date,medtecs,sti,topglove
2018-06-04,0.041,3.61,1.8
2018-06-05,0.041,3.61,1.8
2018-06-06,0.041,3.6,1.8
2018-06-07,0.041,3.59,1.815
2018-06-08,0.041,3.58,1.83
2018-06-11,0.041,3.58,2.0
2018-06-12,0.041,3.56,1.935
2018-06-13,0.041,3.52,1.935
2018-06-14,0.041,3.48,1.935
2018-06-18,0.041,3.46,1.935
2018-06-19,0.041,3.44,1.94
2018-06-20,0.04,3.45,1.905
2018-06-21,0.04,3.43,1.905
2018-06-22,0.04,3.43,1.985
2018-06-25,0.04,3.38,1.925
2018-06-26,0.04,3.4,1.955
2018-06-27,0.039,3.39,1.995
2018-06-28,0.039,3.37,1.995
2018-06-29,0.039,3.4,2.025
2018-07-02,0.039,3.32,2.06
2018-07-03,0.039,3.31,2.075
2018-07-04,0.039,3.31,2.075
2018-07-05,0.039,3.33,2.065
2018-07-06,0.039,3.26,2.05
2018-07-09,0.039,3.3,1.7
2018-07-10,0.039,3.33,1.7
2018-07-11,0.039,3.33,1.715
2018-07-12,0.039,3.33,1.7
2018-07-13,0.039,3.33,1.695
2018-07-16,0.039,3.32,1.74
2018-07-17,0.039,3.32,1.745
2018-07-18,0.039,3.33,1.785
2018-07-19,0.039,3.35,1.785
2018-07-20,0.039,3.37,1.75
2018-07-23,0.039,3.37,1.75
2018-07-24,0.039,3.37,1.75
2018-07-25,0.039,3.42,1.75
2018-07-26,0.039,3.44,1.75
2018-07-27,0.039,3.42,1.75
2018-07-30,0.041,3.4,1.68
2018-07-31,0.041,3.42,1.68
2018-08-01,0.041,3.42,1.68
2018-08-02,0.041,3.37,1.695
2018-08-03,0.041,3.36,1.695
2018-08-06,0.041,3.39,1.69
2018-08-07,0.041,3.43,1.69
2018-08-08,0.041,3.44,1.69
2018-08-10,0.041,3.39,1.775
2018-08-13,0.037,3.36,1.7
2018-08-14,0.037,3.35,1.7
2018-08-15,0.037,3.35,1.75
2018-08-16,0.037,3.34,1.75
2018-08-17,0.037,3.32,1.75
2018-08-20,0.037,3.33,1.75
2018-08-21,0.037,3.32,1.75
2018-08-23,0.037,3.38,1.815
2018-08-24,0.037,3.34,1.8
2018-08-27,0.037,3.35,1.8
2018-08-28,0.037,3.37,1.86
2018-08-29,0.037,3.37,1.85
2018-08-30,0.037,3.35,1.85
2018-08-31,0.037,3.33,1.85
